method,action_type,ate_estimate,ci_lower,ci_upper,p_value,n_treated,n_control
DiD,Access Control,0.19156105334659285,-0.26633930508407266,0.660110054925354,0.423290001190861,150,150
DiD,Isolation,0.3828516194954567,-0.08038663254731891,0.823013974846797,0.09257143171752714,193,193
DiD,Traffic Redirection,-0.2514108595616875,-0.7201844294656027,0.21268050917619663,0.30377791939563087,162,162
PSM,Access Control,-8.432016848216705,-10.81362958647025,-5.964205881783948,4.922871897109575e-10,150,150
PSM,Isolation,-7.1939716649981165,-9.32346207782485,-5.043268280822157,5.954153140530338e-10,193,193
PSM,Traffic Redirection,-8.58562530945845,-10.717510983565411,-6.386492025252695,3.6476723844534646e-13,162,162
